code,date,conductivity,T_avg,pH,Cl,SO4,NO3,PO4,Br,F,Ca,Mg,Na,K,Fe,Si,Al,S,P,Li,Be,B,Sc,Ti,V,Cr,Mn,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Rb,Sr,Y,Zr,Nb,Mo,Cd,Sn,Sb,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Tl,Pb,Bi,Th,U
Mag-1,2016-06-10T00:00:00Z,255,27.4,7.17,7.870273795153357,3.0684016480414615,3.588816234085084,0.01150556842105263,0.083,0.07715378801207662,31.258,3.0364999999999998,11.986,7.4167000000000005,0.0705,0.8548,0.0498,0.8548,-0.0047,0.79990000000000006,0.79990000000000006,50.15,0.79990000000000006,2.687,0.79990000000000006,0.79990000000000006,21.53,0.79990000000000006,0.79990000000000006,1.284,9.823,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,15.2,129.9,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,45.29,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006
VinL-1,2016-06-10T00:00:00Z,1103,30,6.93,173.8841620016295,30.682342615198788,18.008514206099,10,0.439,0.06312957993456172,122.94,12.931999999999999,90.148,3.9366000000000003,0.0741,9.5711,0.059300000000000005,9.5711,-0.02,2.664,0.79990000000000006,40.82,0.79990000000000006,2.673,2.15,1.371,2.521,0.79990000000000006,4.102,7.219,30.59,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,1.854,402.3,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,58.8,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,1.755,0.79990000000000006,0.79990000000000006,1.447
VinD-1,2016-06-10T00:00:00Z,915,29.6,6.74,63.323370862101555,9.367388439631165,46.001505898770596,0.013006294736842103,0.159,0.12536353653762536,163.34,6.2761,22.332,1.7269,0.0048000000000000004,2.9082000000000003,0.0014999999999999998,2.9082000000000003,0.0173,2.729,0.79990000000000006,26.78,0.79990000000000006,0.79990000000000006,0.97,0.79990000000000006,0.79990000000000006,0.79990000000000006,1.506,0.921,4.857,0.79990000000000006,0.79990000000000006,0.79990000000000006,1.14,1.333,623.5,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,65.45,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,1.593
Gaz-1,2016-06-10T00:00:00Z,819,28.6,7.17,34.60368465503039,31.221233770734646,5.80988120513353,0.016007747368421053,0.084,0.0663902105441991,65.828,2.9502,19.84,29.766,0.0265,5.906700000000001,-0.027499999999999997,5.906700000000001,0.0148,2.31,0.79990000000000006,25.09,0.79990000000000006,0.79990000000000006,1.088,0.79990000000000006,2.436,0.79990000000000006,0.857,0.79990000000000006,2.121,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,4.79,196.1,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,47.31,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006
Mil-1,2016-06-10T00:00:00Z,591,28.6,6.96,14.471108387078546,6.438018442678576,8.984431026616098,0.01750847368421053,10,0.05070573462761402,102.87,3.6307,14.366000000000001,4.6606,0.0027,1.9296,0.039599999999999996,1.9296,-0.0106,5.982,0.79990000000000006,21.92,0.79990000000000006,0.79990000000000006,0.79990000000000006,1.557,0.79990000000000006,0.79990000000000006,0.969,5.253,11.58,0.79990000000000006,0.79990000000000006,0.79990000000000006,1.45,3.245,236.9,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,83.73,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006
Fsh-1,2016-06-10T00:00:00Z,196,27.8,7.15,10.082231786331262,9.214500573710046,1.146334544773913,0.009504599999999998,0.079,0.054109182640059025,27.492,0.9316000000000001,8.9097,1.4247999999999998,0.037399999999999996,2.7293000000000003,-0.086,2.7293000000000003,-0.004200000000000001,0.79990000000000006,0.79990000000000006,10.88,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,6.068,0.79990000000000006,0.79990000000000006,0.79990000000000006,29.45,0.79990000000000006,0.79990000000000006,1.307,1.569,3.11,83.02,0.79990000000000006,0.79990000000000006,0.79990000000000006,4.823,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,18.22,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006
Sal-1,2016-06-10T00:00:00Z,661,28.7,6.88,18.799768543889968,13.765982341913357,0.8023203939033685,0.022510894736842105,0.047,0.14300476378591148,108.85999999999999,6.5527,25.732,2.1673,0.0311,4.244,0.016399999999999998,4.244,-0.018699999999999998,5.296,0.79990000000000006,49.81,1.233,0.79990000000000006,1.151,0.79990000000000006,1.687,0.79990000000000006,1.243,1.515,95.42,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,1.997,436.5,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,54.73,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,1.195
Mun-1,2016-06-10T00:00:00Z,661,28.8,6.82,21.62003571375267,5.9736019940488125,4.890404640371706,0.011005326315789472,0.062,0.10746741968740924,120.37,3.8731999999999998,17.198999999999998,1.2913,0.0251,1.9002,0.042300000000000004,1.9002,0.0205,2.221,0.79990000000000006,28.03,0.79990000000000006,0.79990000000000006,0.79990000000000006,1.447,1.786,0.79990000000000006,1.542,6.296,38.32,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,1.359,250.5,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,132.3,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,1.083,0.79990000000000006,0.79990000000000006,0.79990000000000006
Mag-2,2016-06-18T00:00:00Z,272,27.8,7.24,11.857392541243632,3.5973495428573545,8.040215480970762,10,0.084,0.07923267464528422,33.999,3.4953000000000003,12.669999999999998,6.5211,-0.0064,0.8451,-0.0319,0.8451,0.0248,0.79990000000000006,0.79990000000000006,49.79,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,27.12,0.79990000000000006,0.916,0.79990000000000006,4.149,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,13.34,145.5,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,54.4,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006
VinL-2,2016-06-18T00:00:00Z,1157,30,7.02,173.93113670100826,28.164101850065006,18.85705377555584,0.020009684210526315,0.426,0.06487904871141151,126.6,14.158999999999999,90.336,4.1272,0.0739,9.0493,0.18939999999999999,9.0493,-0.0045,2.904,0.79990000000000006,41.31,0.79990000000000006,8.065,1.952,1.785,1.641,0.79990000000000006,1.496,2.76,42.81,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,1.783,411.5,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,56.14,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,1.401
VinD-2,2016-06-18T00:00:00Z,896,29.7,6.86,61.97412630981317,8.852040836901287,45.210078411233916,0.020009684210526315,0.122,0.1240750307486427,162.17,6.342499999999999,22.279,2.0696,0.05,2.7848,0.1498,2.7848,0.0065,2.748,0.79990000000000006,27.79,0.79990000000000006,2.705,0.815,1.082,5.393,0.79990000000000006,7.577,3.425,79.5,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,1.863,626.1,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,67.41,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,2.005,0.79990000000000006,0.79990000000000006,1.522
Gaz-2,2016-06-18T00:00:00Z,804,28.4,7.2,33.89980675144393,29.780913972950078,7.148798032852661,0.03151525263157894,0.067,0.0605536409617748,105.28999999999999,4.6849,31.331000000000003,48.282999999999994,0.0106,9.4818,-0.0196,9.4818,-0.0125,3.715,0.79990000000000006,39.38,0.79990000000000006,0.79990000000000006,1.999,0.857,6.051,0.79990000000000006,1.145,0.922,3.253,0.79990000000000006,0.79990000000000006,0.79990000000000006,1.392,7.713,316.5,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,77.02,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,1.268
Mil-2,2016-06-18T00:00:00Z,582,28.8,7.04,14.623193592280018,6.18744903467944,4.629174810467626,0.018508957894736843,10,0.08090564008672423,105.09,3.7494,14.98,5.125,-2e-4,2.0079,-0.0538,2.0079,-0.027000000000000003,6.005,0.79990000000000006,22.69,0.79990000000000006,0.79990000000000006,0.79990000000000006,1.646,0.79990000000000006,0.79990000000000006,1.014,5.243,11.2,0.79990000000000006,0.79990000000000006,0.79990000000000006,1.328,3.299,234.4,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,88.32,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006
Fsh-2,2016-06-18T00:00:00Z,195,29.7,7.29,10.101171818101763,9.18763432901667,2.1934363624053383,0.014006778947368419,0.079,0.051904021748510366,28.022,0.9555,9.0752,1.1925,0.0226,2.7104,0.001,2.7104,1e-4,0.79990000000000006,0.79990000000000006,11.26,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,6.395,0.79990000000000006,1.153,1.257,36.7,0.79990000000000006,0.79990000000000006,1.304,1.114,3.153,86.23,0.79990000000000006,0.79990000000000006,0.79990000000000006,4.556,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,17.92,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006
Sal-2,2016-06-18T00:00:00Z,651,28.8,6.93,20.72206353217656,13.971498222941548,4.1840722205200445,0.03601743157894736,0.055,0.11521233129515548,106.09,6.375,25.345,2.1140999999999996,0.05,4.0949,0.0693,4.0949,-0.0071,5.336,0.79990000000000006,49.4,1.28,1.813,1.074,0.79990000000000006,3.356,0.79990000000000006,4.114,3.926,92.48,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,2.155,429.5,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,59.02,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,1.176,0.79990000000000006,0.79990000000000006,1.157
Mun-2,2016-06-18T00:00:00Z,657,29,7,23.42571104923927,6.283921921911564,8.439661365806812,0.01750847368421053,0.048,0.06405375301858121,121.19999999999999,3.8705,18.016000000000002,1.7354,0.0572,1.8658,0.0611,1.8658,-0.0098,2.225,0.79990000000000006,28.17,0.79990000000000006,1.038,0.79990000000000006,1.133,2.407,0.79990000000000006,2.584,3.578,32.58,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,1.43,247.8,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,132.7,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.834,0.79990000000000006,0.79990000000000006,0.79990000000000006
Mag-3,2016-06-24T00:00:00Z,282,27.3,7.24,9.537617358649664,3.8006352385184647,5.152139837121514,10,0.081,0.08481777278523946,33.157000000000004,3.2845999999999997,13.309,7.248200000000001,0.7259,1.0748,-0.011199999999999998,1.0748,0.0296,0.79990000000000006,0.79990000000000006,45.34,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,18.12,0.79990000000000006,1.202,1.918,24.38,0.79990000000000006,0.79990000000000006,0.919,0.79990000000000006,16.11,139.8,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,48.76,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006
VinL-3,2016-06-24T00:00:00Z,1435,28.2,6.84,157.1206723478641,27.474303043594418,16.422044347310283,0.02651283157894737,0.373,0.06277027243625581,122.6,10.895,78.077,2.893,0.1355,8.4526,0.0382,8.4526,-0.0256,2.551,0.79990000000000006,33.55,0.79990000000000006,1.233,1.332,0.839,3.34,0.79990000000000006,2.057,12.34,71.69,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,1.504,379.9,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,49.91,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,1.261
VinD-3,2016-06-24T00:00:00Z,894,28.1,6.82,62.735282079699786,9.230403336448314,51.75409285271274,0.0345167052631579,0.125,0.12505482917193644,158.58,6.5822,20.901,1.6379,-0.0109,2.6841999999999997,-0.0295,2.6841999999999997,-0.0398,2.695,0.79990000000000006,26.89,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,1.236,0.79990000000000006,1.54,0.925,15.6,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,1.461,644.5,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,69.99,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,1.586
Gaz-3,2016-06-24T00:00:00Z,786,27.6,7.17,32.146706360203524,28.75384389987726,5.980842227366515,0.014507021052631578,0.062,0.09104799817297272,98.11500000000001,4.417400000000001,29.287,45.015,0.0791,8.683499999999999,0.0033,8.683499999999999,0.0081,3.482,0.79990000000000006,38.03,0.79990000000000006,0.79990000000000006,1.96,0.849,5.987,0.79990000000000006,1.023,1.752,11.89,0.79990000000000006,0.79990000000000006,0.79990000000000006,1.314,7.37,297.9,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,72.64,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,1.163
Mil-3,2016-06-24T00:00:00Z,584,28.3,6.89,14.101261815627343,6.324269853123261,9.09467248894107,0.013006294736842103,10,0.05459940050887119,100.75,3.6014,14.689,4.8422,0.0131,1.8803,0.0326,1.8803,-0.002,5.795,0.79990000000000006,22.14,0.79990000000000006,0.79990000000000006,0.79990000000000006,1.809,0.79990000000000006,0.79990000000000006,1.191,18.13,58.19,0.79990000000000006,0.79990000000000006,0.79990000000000006,1.63,3.164,228.7,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,89.27,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006
Fsh-3,2016-06-24T00:00:00Z,194,29.1,7.23,9.672968537304955,9.217132174812642,3.854796591333433,10,0.079,0.05288007158953136,25.964999999999996,0.925,8.9887,1.2332999999999998,0.0996,2.4976000000000003,-0.0278,2.4976000000000003,0.0079,0.79990000000000006,0.79990000000000006,11.32,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.818,6.187,0.79990000000000006,0.878,1.408,31.63,0.79990000000000006,0.79990000000000006,1.195,1.034,2.743,81.87,0.79990000000000006,0.79990000000000006,0.79990000000000006,3.999,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,17.49,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.802,0.79990000000000006,0.79990000000000006,0.79990000000000006
Sal-3,2016-06-24T00:00:00Z,654,28.2,6.86,18.96021937915406,13.685214594899277,1.1542272450040787,0.034016463157894736,10,0.14659107059625867,100.63000000000001,5.974,23.717000000000002,2.4346,0.0573,3.8867000000000003,0.029199999999999997,3.8867000000000003,-0.0589,5.077,0.79990000000000006,47.22,0.937,0.79990000000000006,0.897,0.79990000000000006,2.163,0.79990000000000006,1.023,3.274,153.8,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,1.928,401.5,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,51.66,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,1.083
Mun-3,2016-06-24T00:00:00Z,658,28.4,6.92,21.410053902845924,5.813836127146164,5.441413478499115,0.026012589473684213,10,0.10486605756579692,115.93,3.9002,17.61,1.2461,0.0297,1.8096999999999999,-0.0201,1.8096999999999999,-0.0248,2.445,0.79990000000000006,26.79,0.79990000000000006,0.79990000000000006,0.79990000000000006,1.711,0.8,0.79990000000000006,1.235,5.427,27.54,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,1.499,247.2,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,132.8,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006
